#      time  integrated_mags
#     [Myr]    [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]
   911.0000    -4.15  -2.74  -3.35  -3.52  -3.78  -4.15  -1.65  -2.68  -3.73  -3.78  -3.72  -3.63  -3.62  -8.03  -6.63  -8.07  -0.90  -5.18
    58.0000    -5.65  -6.93  -6.57  -5.83  -5.74  -5.64  -5.51  -5.63  -5.88  -5.56  -5.26  -5.03  -4.95  -9.91  -8.18 -10.18  -9.86 -10.02
   495.0000    -4.52  -3.89  -4.11  -4.26  -4.34  -4.52  -2.65  -3.47  -4.38  -4.27  -4.10  -3.98  -3.96  -8.55  -7.02  -8.68  -5.13  -6.67
   867.0000    -4.19  -2.84  -3.42  -3.60  -3.85  -4.19  -1.74  -2.76  -3.80  -3.84  -3.76  -3.67  -3.66  -8.08  -6.67  -8.14  -1.27  -5.33
   834.0000    -4.27  -2.97  -3.52  -3.72  -3.95  -4.27  -1.86  -2.86  -3.91  -3.93  -3.85  -3.76  -3.74  -8.18  -6.76  -8.24  -1.56  -5.47
   360.0000    -4.70  -4.40  -4.49  -4.55  -4.59  -4.70  -3.11  -3.84  -4.66  -4.49  -4.29  -4.15  -4.12  -8.79  -7.21  -8.95  -6.31  -7.26
   143.0000    -5.23  -5.85  -5.67  -5.29  -5.24  -5.23  -4.48  -4.86  -5.35  -5.09  -4.84  -4.65  -4.59  -9.42  -7.75  -9.64  -8.46  -8.85
   973.0000    -4.08  -2.60  -3.26  -3.41  -3.70  -4.08  -1.53  -2.58  -3.63  -3.71  -3.65  -3.57  -3.55  -7.95  -6.56  -7.98  -0.47  -5.01
   474.0000    -4.54  -3.96  -4.16  -4.30  -4.38  -4.54  -2.71  -3.52  -4.42  -4.29  -4.12  -4.00  -3.98  -8.58  -7.04  -8.71  -5.35  -6.76
   690.0000    -4.43  -3.38  -3.79  -4.01  -4.17  -4.43  -2.21  -3.16  -4.17  -4.13  -4.01  -3.91  -3.90  -8.39  -6.92  -8.48  -3.02  -6.00
     7.0000    -6.34  -8.60  -7.98  -6.74  -6.56  -6.34  -7.10  -6.90  -6.75  -6.34  -5.98  -5.68  -5.56 -10.74  -8.89 -11.09 -12.03 -11.86
   233.0000    -5.12  -5.40  -5.29  -5.11  -5.08  -5.12  -4.05  -4.57  -5.18  -4.95  -4.72  -4.55  -4.50  -9.27  -7.63  -9.47  -7.92  -8.38
   553.0000    -4.53  -3.76  -4.04  -4.22  -4.32  -4.53  -2.54  -3.41  -4.35  -4.26  -4.11  -4.00  -3.98  -8.54  -7.02  -8.65  -4.55  -6.49
   164.0000    -5.10  -5.61  -5.46  -5.12  -5.09  -5.10  -4.25  -4.66  -5.20  -4.95  -4.70  -4.52  -4.46  -9.27  -7.62  -9.49  -8.20  -8.61
   768.0000    -4.31  -3.13  -3.61  -3.82  -4.02  -4.31  -1.99  -2.97  -4.00  -3.99  -3.89  -3.79  -3.78  -8.25  -6.80  -8.32  -2.24  -5.70
   808.0000    -4.27  -3.02  -3.54  -3.74  -3.96  -4.27  -1.90  -2.89  -3.93  -3.94  -3.85  -3.75  -3.74  -8.19  -6.76  -8.26  -1.80  -5.55
   870.0000    -4.19  -2.84  -3.42  -3.60  -3.85  -4.19  -1.74  -2.76  -3.80  -3.84  -3.77  -3.68  -3.67  -8.09  -6.68  -8.14  -1.22  -5.31
   855.0000    -4.21  -2.87  -3.44  -3.63  -3.87  -4.21  -1.77  -2.78  -3.83  -3.86  -3.78  -3.69  -3.68  -8.11  -6.69  -8.17  -1.35  -5.37
   114.0000    -5.40  -6.18  -5.96  -5.49  -5.43  -5.40  -4.80  -5.12  -5.55  -5.27  -5.01  -4.80  -4.74  -9.61  -7.92  -9.84  -8.86  -9.20
    51.0000    -5.88  -7.28  -6.89  -6.10  -5.99  -5.88  -5.85  -5.94  -6.14  -5.81  -5.50  -5.26  -5.17 -10.17  -8.42 -10.44 -10.23 -10.37
   377.0000    -4.70  -4.35  -4.46  -4.54  -4.59  -4.70  -3.07  -3.81  -4.65  -4.49  -4.29  -4.16  -4.13  -8.78  -7.21  -8.94  -6.17  -7.20
   406.0000    -4.63  -4.22  -4.35  -4.45  -4.51  -4.63  -2.95  -3.71  -4.56  -4.41  -4.22  -4.08  -4.06  -8.70  -7.13  -8.85  -5.95  -7.06
   954.0000    -4.09  -2.63  -3.28  -3.43  -3.72  -4.09  -1.56  -2.60  -3.65  -3.72  -3.67  -3.58  -3.57  -7.96  -6.57  -8.00  -0.61  -5.06
    62.0000    -5.61  -6.86  -6.50  -5.79  -5.69  -5.61  -5.44  -5.58  -5.83  -5.52  -5.22  -5.00  -4.92  -9.87  -8.14 -10.13  -9.78  -9.94
   649.0000    -4.47  -3.51  -3.87  -4.09  -4.23  -4.47  -2.32  -3.24  -4.24  -4.17  -4.05  -3.94  -3.93  -8.44  -6.96  -8.54  -3.49  -6.17
   186.0000    -5.21  -5.67  -5.53  -5.23  -5.20  -5.21  -4.31  -4.76  -5.30  -5.06  -4.81  -4.63  -4.57  -9.38  -7.72  -9.59  -8.23  -8.66
   722.0000    -4.36  -3.25  -3.69  -3.90  -4.08  -4.36  -2.09  -3.05  -4.07  -4.04  -3.94  -3.84  -3.82  -8.31  -6.85  -8.39  -2.61  -5.85
   641.0000    -4.45  -3.50  -3.86  -4.07  -4.21  -4.45  -2.31  -3.23  -4.22  -4.15  -4.03  -3.92  -3.91  -8.42  -6.94  -8.53  -3.57  -6.17
   656.0000    -4.48  -3.50  -3.88  -4.10  -4.24  -4.48  -2.32  -3.25  -4.25  -4.18  -4.06  -3.95  -3.94  -8.45  -6.97  -8.56  -3.42  -6.16
   541.0000    -4.53  -3.82  -4.08  -4.24  -4.34  -4.53  -2.59  -3.45  -4.37  -4.27  -4.12  -4.00  -3.98  -8.55  -7.03  -8.67  -4.78  -6.58
   543.0000    -4.49  -3.77  -4.03  -4.19  -4.30  -4.49  -2.54  -3.39  -4.33  -4.23  -4.08  -3.96  -3.94  -8.51  -6.99  -8.63  -4.69  -6.52
   405.0000    -4.63  -4.21  -4.34  -4.45  -4.50  -4.63  -2.94  -3.70  -4.56  -4.41  -4.22  -4.08  -4.06  -8.70  -7.13  -8.85  -5.92  -7.04
   443.0000    -4.58  -4.07  -4.24  -4.37  -4.44  -4.59  -2.81  -3.60  -4.49  -4.35  -4.17  -4.04  -4.02  -8.64  -7.09  -8.78  -5.58  -6.88
   232.0000    -5.04  -5.32  -5.22  -5.02  -5.00  -5.04  -3.97  -4.48  -5.09  -4.87  -4.64  -4.47  -4.42  -9.19  -7.55  -9.38  -7.86  -8.31
   158.0000    -5.14  -5.67  -5.51  -5.17  -5.13  -5.14  -4.31  -4.72  -5.24  -4.99  -4.74  -4.55  -4.50  -9.32  -7.66  -9.53  -8.27  -8.67
   780.0000    -4.29  -3.08  -3.58  -3.79  -3.99  -4.29  -1.95  -2.93  -3.97  -3.97  -3.87  -3.78  -3.76  -8.22  -6.78  -8.30  -2.03  -5.64
